127.0.0.1 - - [16/Mar/2024:11:35:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:24 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:24 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:31 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?filter=50000 HTTP/1.1" 200 14381
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:31 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:31 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:37 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=4 HTTP/1.1" 200 12898
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:37 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:37 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:44 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?filter=50000 HTTP/1.1" 200 14381
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:44 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:44 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:49 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?filter=60000 HTTP/1.1" 200 15928
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:49 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:39:49 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:41:16 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20795
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:41:16 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:41:16 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:41:24 +0530] "POST /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20795
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:41:24 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:41:24 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:41:31 +0530] "POST /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20795
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:41:31 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:41:31 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:42:09 +0530] "POST /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20795
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:42:09 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:42:09 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:49:38 +0530] "GET /OnlineMobileShoppingSystem/index.jsp HTTP/1.1" 200 20821
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:49:38 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:49:38 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:49:38 +0530] "GET /OnlineMobileShoppingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:49:51 +0530] "POST /OnlineMobileShoppingSystem/ProductOperation HTTP/1.1" 200 12875
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:49:51 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 404 814
